,category,contract,output_num,input_len,output_len,inout_len,exec_time
73,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,3,4931,1577,6508,32
74,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,4,4931,1585,6516,9
75,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,0,4887,1622,6509,17
76,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,1,4887,1515,6402,64
77,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,2,4887,1537,6424,60
78,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,3,4887,1487,6374,16
79,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,4,4887,1450,6337,29
80,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,0,4891,1553,6444,24
81,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,1,4891,1559,6450,22
82,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,2,4891,1504,6395,22
83,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,3,4891,1563,6454,27
84,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,4,4891,1513,6404,28
85,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,0,4701,1357,6058,21
86,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,1,4701,1395,6096,23
87,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,2,4701,1351,6052,31
88,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,3,4701,1495,6196,15
89,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,4,4701,1341,6042,23
90,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,0,4929,1579,6508,20
91,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,1,4929,1495,6424,30
92,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,2,4929,1593,6522,23
93,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,3,4929,1724,6653,23
94,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,4,4929,1553,6482,41
95,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,0,4889,1539,6428,20
96,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,1,4889,1552,6441,30
97,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,2,4889,1528,6417,33
98,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,3,4889,1591,6480,36
