,category,contract,output_num,input_len,output_len,inout_len,exec_time
108,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,3,1438,1167,2605,20
109,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,4,1438,1274,2712,31
110,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,0,1659,1756,3415,23
111,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,1,1659,1505,3164,25
112,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,2,1659,1645,3304,41
113,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,3,1659,1685,3344,23
114,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,4,1659,1852,3511,28
115,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,0,1140,1011,2151,13
116,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,1,1140,1018,2158,16
117,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,2,1140,1062,2202,15
118,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,3,1140,1032,2172,17
119,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,4,1140,1011,2151,15
120,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,0,1139,1035,2174,20
121,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,1,1139,1074,2213,14
122,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,2,1139,1010,2149,20
123,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,3,1139,1061,2200,26
124,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,4,1139,1010,2149,13
125,unchecked_low_level_calls,0xd5967fed03e85d1cce44cab284695b41bc675b5c,0,585,480,1065,15
126,unchecked_low_level_calls,0xd5967fed03e85d1cce44cab284695b41bc675b5c,1,585,492,1077,20
127,unchecked_low_level_calls,0xd5967fed03e85d1cce44cab284695b41bc675b5c,2,585,477,1062,14
128,unchecked_low_level_calls,0xd5967fed03e85d1cce44cab284695b41bc675b5c,3,585,519,1104,15
129,unchecked_low_level_calls,0xd5967fed03e85d1cce44cab284695b41bc675b5c,4,585,522,1107,19
130,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,0,520,396,916,9
131,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,1,520,395,915,12
132,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,2,520,440,960,17
133,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,3,520,396,916,15
134,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,4,520,383,903,8
135,unchecked_low_level_calls,0x2972d548497286d18e92b5fa1f8f9139e5653fd2,0,589,497,1086,14
136,unchecked_low_level_calls,0x2972d548497286d18e92b5fa1f8f9139e5653fd2,1,589,738,1327,18
137,unchecked_low_level_calls,0x2972d548497286d18e92b5fa1f8f9139e5653fd2,2,589,521,1110,18
138,unchecked_low_level_calls,0x2972d548497286d18e92b5fa1f8f9139e5653fd2,3,589,528,1117,23
139,unchecked_low_level_calls,0x2972d548497286d18e92b5fa1f8f9139e5653fd2,4,589,431,1020,23
140,unchecked_low_level_calls,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,0,588,691,1279,14
141,unchecked_low_level_calls,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,1,588,524,1112,19
142,unchecked_low_level_calls,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,2,588,575,1163,21
143,unchecked_low_level_calls,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,3,588,593,1181,22
144,unchecked_low_level_calls,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,4,588,709,1297,15
145,unchecked_low_level_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,0,1828,1598,3426,32
146,unchecked_low_level_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,1,1828,1640,3468,39
147,unchecked_low_level_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,2,1828,1689,3517,43
148,unchecked_low_level_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,3,1828,1665,3493,51
149,unchecked_low_level_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,4,1828,1711,3539,57
150,unchecked_low_level_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,0,1785,1686,3471,32
151,unchecked_low_level_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,1,1785,1671,3456,24
152,unchecked_low_level_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,2,1785,1692,3477,31
153,unchecked_low_level_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,3,1785,1623,3408,30
154,unchecked_low_level_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,4,1785,1586,3371,27
155,unchecked_low_level_calls,0x4051334adc52057aca763453820cb0e045076ef3,0,588,508,1096,15
156,unchecked_low_level_calls,0x4051334adc52057aca763453820cb0e045076ef3,1,588,407,995,24
157,unchecked_low_level_calls,0x4051334adc52057aca763453820cb0e045076ef3,2,588,483,1071,18
158,unchecked_low_level_calls,0x4051334adc52057aca763453820cb0e045076ef3,3,588,1502,2090,59
159,unchecked_low_level_calls,0x4051334adc52057aca763453820cb0e045076ef3,4,588,525,1113,22
160,unchecked_low_level_calls,0xa46edd6a9a93feec36576ee5048146870ea2c3ae,0,589,779,1368,22
161,unchecked_low_level_calls,0xa46edd6a9a93feec36576ee5048146870ea2c3ae,1,589,747,1336,21
162,unchecked_low_level_calls,0xa46edd6a9a93feec36576ee5048146870ea2c3ae,2,589,572,1161,31
163,unchecked_low_level_calls,0xa46edd6a9a93feec36576ee5048146870ea2c3ae,3,589,738,1327,22
164,unchecked_low_level_calls,0xa46edd6a9a93feec36576ee5048146870ea2c3ae,4,589,527,1116,15
165,unchecked_low_level_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,0,1141,1033,2174,42
166,unchecked_low_level_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,1,1141,1040,2181,20
167,unchecked_low_level_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,2,1141,1031,2172,17
168,unchecked_low_level_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,3,1141,1066,2207,16
169,unchecked_low_level_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,4,1141,987,2128,16
170,unchecked_low_level_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,0,1900,1716,3616,20
171,unchecked_low_level_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,1,1900,1768,3668,38
172,unchecked_low_level_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,2,1900,1781,3681,30
173,unchecked_low_level_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,3,1900,1856,3756,36
174,unchecked_low_level_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,4,1900,1841,3741,27
175,unchecked_low_level_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,0,1899,1760,3659,29
